"filename", "language", "XML", "C#", "Markdown", "JSON", "comment", "blank", "total"
"d:\Working\MlkAdmin\Shared\DTOs\GuildMessages\GuildDynamicMessageDto.cs", "C#", 0, 7, 0, 0, 0, 2, 9
"d:\Working\MlkAdmin\Shared\DTOs\GuildMessages\GuildMemberStatisticDto.cs", "C#", 0, 10, 0, 0, 0, 2, 12
"d:\Working\MlkAdmin\Shared\DTOs\GuildMessages\GuildMessageDto.cs", "C#", 0, 7, 0, 0, 0, 2, 9
"d:\Working\MlkAdmin\Shared\DTOs\GuildMessages\GuildMessageEmbedAuthorDto.cs", "C#", 0, 7, 0, 0, 0, 2, 9
"d:\Working\MlkAdmin\Shared\DTOs\GuildMessages\GuildMessageEmbedDto.cs", "C#", 0, 13, 0, 0, 0, 6, 19
"d:\Working\MlkAdmin\Shared\DTOs\GuildMessages\GuildMessageEmbedFooterDto.cs", "C#", 0, 6, 0, 0, 0, 2, 8
"d:\Working\MlkAdmin\Shared\Extensions\StringBuilderExtensions.cs", "C#", 0, 14, 0, 0, 0, 3, 17
"d:\Working\MlkAdmin\Shared\Extensions\StringExtensions.cs", "C#", 0, 9, 0, 0, 0, 3, 12
"d:\Working\MlkAdmin\Shared\Results\BaseResult.cs", "C#", 0, 19, 0, 0, 0, 7, 26
"d:\Working\MlkAdmin\TODO.md", "Markdown", 0, 0, 2, 0, 0, 2, 4
"Total", "-", 24, 3560, 118, 367, 1, 779, 4849
